Statistical profiling result from isolate-0x2f10e60-v8.log, (1174 ticks, 26 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      3    4.8%            LazyCompile: ~parse /home/mcfinley/projects/current/zen-parser/lib/parser/parse.js:60:15
      3    4.8%            LazyCompile: ~machines.sort /home/mcfinley/projects/current/zen-parser/lib/parser/parse.js:74:32
     24   27.6%        LazyCompile: ~InnerArrayJoin native array.js:274:24
     17   70.8%          LazyCompile: ~join native array.js:287:46
      9   52.9%            LazyCompile: ~machines.filter.machine /home/mcfinley/projects/current/zen-parser/lib/parser/parse.js:76:34
      7   41.2%            LazyCompile: ~machines.sort /home/mcfinley/projects/current/zen-parser/lib/parser/parse.js:74:32
      1    5.9%            LazyCompile: ~parse /home/mcfinley/projects/current/zen-parser/lib/parser/parse.js:60:15
      7   29.2%          LazyCompile: *join native array.js:287:46
      4   57.1%            LazyCompile: ~machines.sort /home/mcfinley/projects/current/zen-parser/lib/parser/parse.js:74:32
      2   28.6%            LazyCompile: ~parse /home/mcfinley/projects/current/zen-parser/lib/parser/parse.js:60:15
      1   14.3%            LazyCompile: ~machines.filter.machine /home/mcfinley/projects/current/zen-parser/lib/parser/parse.js:76:34
      3    3.3%      LazyCompile: ~Join native array.js:119:14
      3  100.0%        LazyCompile: ~InnerArrayJoin native array.js:274:24
      3  100.0%          LazyCompile: ~join native array.js:287:46
      2   66.7%            LazyCompile: ~machines.sort /home/mcfinley/projects/current/zen-parser/lib/parser/parse.js:74:32
      1   33.3%            LazyCompile: ~machines.filter.machine /home/mcfinley/projects/current/zen-parser/lib/parser/parse.js:76:34

     78    6.6%  v8::internal::(anonymous namespace)::CopyObjectToObjectElements(v8::internal::FixedArrayBase*, v8::internal::ElementsKind, unsigned int, v8::internal::FixedArrayBase*, v8::internal::ElementsKind, unsigned int, int)
     73   93.6%    v8::internal::Builtin_ArraySlice(int, v8::internal::Object**, v8::internal::Isolate*)
     44   60.3%      LazyCompile: *shifts.forEach.shift /home/mcfinley/projects/current/zen-parser/lib/parser/parse.js:42:18
     44  100.0%        Builtin: ArrayForEach
     30   68.2%          LazyCompile: ~burnMachine /home/mcfinley/projects/current/zen-parser/lib/parser/parse.js:21:21
     30  100.0%            LazyCompile: ~machines.forEach.machine /home/mcfinley/projects/current/zen-parser/lib/parser/parse.js:66:22
     12   27.3%          LazyCompile: *machines.forEach.machine /home/mcfinley/projects/current/zen-parser/lib/parser/parse.js:66:22
     12  100.0%            Builtin: ArrayForEach
      2    4.5%          LazyCompile: *burnMachine /home/mcfinley/projects/current/zen-parser/lib/parser/parse.js:21:21
      2  100.0%            LazyCompile: ~machines.forEach.machine /home/mcfinley/projects/current/zen-parser/lib/parser/parse.js:66:22
     14   19.2%      LazyCompile: ~cloneMachine /home/mcfinley/projects/current/zen-parser/lib/parser/parse.js:4:22
      8   57.1%        LazyCompile: ~shifts.forEach.shift /home/mcfinley/projects/current/zen-parser/lib/parser/parse.js:42:18
      8  100.0%          Builtin: ArrayForEach
      8  100.0%            LazyCompile: ~burnMachine /home/mcfinley/projects/current/zen-parser/lib/parser/parse.js:21:21
      6   42.9%        LazyCompile: ~find.resolve.rule /home/mcfinley/projects/current/zen-parser/lib/parser/parse.js:31:64
      6  100.0%          LazyCompile: ~resolve /home/mcfinley/projects/current/zen-parser/lib/helpers/Maybe.js:34:10
      6  100.0%            LazyCompile: ~reduces.forEach.reduce /home/mcfinley/projects/current/zen-parser/lib/parser/parse.js:30:19
     11   15.1%      LazyCompile: *cloneMachine /home/mcfinley/projects/current/zen-parser/lib/parser/parse.js:4:22
     11  100.0%        LazyCompile: ~find.resolve.rule /home/mcfinley/projects/current/zen-parser/lib/parser/parse.js:31:64
     11  100.0%          LazyCompile: ~resolve /home/mcfinley/projects/current/zen-parser/lib/helpers/Maybe.js:34:10
     11  100.0%            LazyCompile: ~reduces.forEach.reduce /home/mcfinley/projects/current/zen-parser/lib/parser/parse.js:30:19
      4    5.5%      LazyCompile: *find.resolve.rule /home/mcfinley/projects/current/zen-parser/lib/parser/parse.js:31:64
